question,answer
Am I eligible for the Parenting Payment?,No
Am I eligible for a Tier 4 (General) student visa?,No
Am I eligible for the SBA 7(a) program?,Yes
Can I get in-work Housing Benefit?,No
Can I claim this expense?,"Are the expenses travel expenses of 12p per mile if you drive, plus 2p per mile for up to 2 passengers?"
Can I get Public Housing?,Yes
Can I take my pension in one go?,No
Can this benefit be reduced or stopped?,Yes
Do I need to claim the new State Pension?,Did you reach State Pension age on or after 6 April 2016?
Do I need to apply for an EAD?,No
Can I get Winter Fuel Payment?,"Do you have a genuine link with the UK social security system, such as having lived or worked in the UK for most of your life?"
Can I use Aged Care Online Claiming?,No
Can I apply for Tier 4 student visa for this course?,No
Can I claim my State Pension abroad?,Yes
Am I eligible for the loan?,Yes
Can I get cash assistance from TANF?,No
May I qualify for VA health care benefits?,No
Can I get in-work Housing Benefit?,No
Can the regular amount of benefit I get be reduced?,Yes
Can I apply to use Centrepay?,Irrelevant
Can I get Winter Fuel Payment?,Yes
Is the 7(a) loan program for me?,No
Can the VA help me with this purchase?,Have you received this payment before?
Can I claim and deal with tax credits for this person?,No
Do I qualify for this benefit program?,No
Can I get Crisis Payment?,Have you been in prison or psychiatric confinement for 14 days?
Do I need to carry on paying National Insurance?,Are you going to claim the State Pension later?
Do I need to ask patients for their bank account details?,No
Do I qualify for this benefit program?,No
Do I need a certificate or to follow special rules to export this product?,Irrelevant
Am I able to apply directly to my electricity supplier for help?,No
Is this program suitable for me?,Are you divorced?
Is this loan suitable for me?,Yes
Can I claim and deal with tax credits for this person?,Is your child over 16?
Can I call Debt Management Recovery From Estates now?,Is it between 9am and 4pm?
Am I eligible for the Parenting Payment?,No
Should I apply for this card?,Yes
Can I inherit my spouse's State Pension?,Yes
Do I need to register for Aged Care Online Services?,No
May I receive VA benefits and services?,No
Do I qualify for the extra Savings Credit?,Are you age 65 or older?
Am I committing benefit fraud?,"Did you deliberately not report a change in your circumstances while abroad, like buying a property, working, or claiming a pension or benefit from another country?"
Am I able to claim the new State Pension?,Yes
Can my Business use Centrepay?,No
Do I qualify for Guarantee Credit?,No
Is a collateral required?,Can you pledge that collateral is available?
Can I export this product to North Korea?,Is your product high quality wines and spirits?
Is my licence valid?,Yes
Can this program assist me?,Are you a landowner?
Can I claim this expense?,No
Am I allowed to work permanently in the United States?,Irrelevant
May I be able to get Child Tax Credit?,Are you retired?
Am I committing benefit fraud?,"Were you dishonest in order to get benefits, like continuing to claim the pension or benefit of someone who has died overseas?"
Can the interet rate be fixed?,Was a fixed rate negotiated between the lender and the applicant?
Can I claim bereavement benefits?,No
Can my Business use Centrepay?,Yes
Can I apply for Tier 4 student visa?,Irrelevant
Can I use the Capital Gains Tax calculator?,Did you sell other chargeable assets in the tax year?
Do I have to pay tax?,No
Can I qualify for Working Tax Credit?,Yes
Am I eligible for a Tier 4 (General) student visa?,do you have enough money to support yourself and pay for the course?
Can my Business use Centrepay?,Yes
Am I eligible for 16 to 19 Bursary Fund?,Are you on an unpaid training course?
Am I eligible for this program?,Do you have at least 3 years history owning or operating  a fishery or comparable project?
Can I be a designated provider for this person?,Have you fully completed and printed required forms?
Am I eligible for Fares Allowance?,Irrelevant
Can I use the loan for this expense?,Yes
Does this loan meet my needs?,No
Is this a digital service?,Yes
May I qualify for VA health care benefits?,No
Do I qualify for this benefit program?,Were you married to that person for at least 10 years before the date the divorce became final?
Can I apply to bring a dependant to the UK?,Yes
Can I start claiming as soon as my EFTPOS provider installs Medicare Easyclaim?,Yes
Do I need to tell  the office dealing with my benefit about this?,Yes
Can openings be available to me?,Yes
Do I qualify for this program?,Is it under the jurisdiction of an Indian tribe?
Is this a legal commerical airport?,Yes
Am I entitled to the correct minimum wage,Yes
Can I backdate this claim?,Yes
Am I entitled to the correct minimum wage for my age?,Yes
Am I eligible to claim Child Tax Credit?,No
Can I inherit my spouse's State Pension?,Yes
Can the interet rate be fixed?,No
Do I have authority to lodge data for file upload?,No
Do I qualify for Working Tax Credit?,Does your self-employed work aim to make a profit?
Am I eligible for a Tier 4 (General) student visa?,No
Do I still have to pay National Insurance?,Yes
Do I have authority to view latest and historical payment statements for the nominated service?,No
Do I need to provide a proof of ownership?,No
Am I entitled to the apprentice rate?,Yes
Do I qualify for assistance?,DO you possess legal capacity to incur loan obligations?
Can Educational and Career Counseling help me?,Yes
Am I eligible?,Do you demonstrate compliance with the National Environmental Policy Act?
Do I have the right to return to my job?,Yes
Do I need a Human Services PKL certificate?,Do you have access to HPOS?
Can I get a low-interest loan towards my deposit?,Is the only one you own?
Am I eligible?,Yes
Can I claim and deal with tax credits for this person?,No
Can I get Working Tax Credit?,Irrelevant
Am I allowed to purchase marijuana plants?,No
Can I get Public Housing?,Yes
Can I ask for mandatory reconsideration for this benefit?,Is this a personal independence payment (PIP)?
Am I entitled to the National Minimum Wage?,Yes
Am I eligible for this program?,No
Can send the application now?,Yes
Will there be any change to the rights and status of me?,Yes
Can I claim my Medicare benefit?,Yes
Can I deal with the tax credits of someone?,No
Can I get Winter Fuel Payment?,No
Can I get in-work Housing Benefit?,Yes
Can I apply for a discount?,No
Does this program meet my needs?,Yes
Is this a legal commerical airport?,Is the interior floor area more than 6 feet by 8 feet?
Can I get help about ‘interviews under caution’ from this organisation?,No
Can I access the Aged Care Online Services in my browser?,Yes
Can my payments go up?,No
Can I apply for a Tier 4 (General) student visa?,No
Will my basic State Pension will be more than £122.30 per week?,Do you voluntary pay National Insurance?
Will I get up to £2010?,No
Do I qualify for this benefit program?,No
Can I use the market value of the property when working out my gain?,did you inherit it?
Can send the application now?,No
Do I qualify for this benefit program?,Do you have very low income?
Can I consume this marijuana?,Are you the designated provider?
Will I get the National Minimum Wage?,"Are you a a student doing work experience as part of a higher or further education course, of compulsory school age, a volunteer or doing voluntary work, or on a government or European programme?"
Can I apply for Tier 4 student visa for this course?,Yes
Am I an independent contractor?,Yes
May I qualify for VA health care benefits?,Were you dishonorably discharged?
Do I qualify for this benefit program?,Are you entitled an equal or higher retirement or disability benefits?
Are my employee rights affected?,No
Do I need a certificate or to follow special rules to export this product?,Yes
Does this loan meet my needs?,No
Is the 7(a) loan program for me?,Are you able to get financing from other resources?
Is this a digital service?,No
Can my au pair be classified as a worker?,Have they entered the UK on a Youth Mobility visa or student visa?
Will I be asked questions by this person?,Is this person a panel of experts - who they are depends on what the case is about?
Am I eligible for this program?,No
Am I able to claim the new State Pension?,No
Will I get the National Minimum Wage?,Are you of compulsory school age?
Can my payments go up?,No
Do I need a licence to export these chemicals?,Yes
Do I need to use TRACES to create a commercial document?,Irrelevant
Could the adult dependency increase I receive stop?,No
Can I use Aged Care Online Claiming?,Is your service registered?
Can I apply?,Yes
Do I have the right to return to my job?,Yes
Could I be able to stay longer to continue my course?,Yes
Will I be told to pay back the overpaid money?,Irrelevant
Can I contact the Independent Adjudicator?,Yes
Can I use the market value of the property when working out my gain?,"Was the property a gift (there are different rules if it was to your spouse, civil partner or a charity)?"
Am I entitled to the National Minimum Wage?,Yes
Can I export this product to North Korea?,is it cutlery made from precious metal or plated or clad with precious metal
Can I apply for Youth allowance?,No
Can I access the Aged Care Online Services in my browser?,No
Can I get Cold Weather Payments?,No
Can I export this product to North Korea?,Is your product truffles or goods containing truffles?
Am I eligible for 16 to 19 Bursary Fund?,Do you study at a publicly funded school or college?
Is a myRA suitable for me?,Do you want to roll over your money to a private sector any time ?
Can I claim this expense?,Are you going to tribunal?
Do I need a licence to export these chemicals?,Do the chemicals have military or potential military uses?
Do I pay a fee of 1.75% of the loan’s value?,Yes
Should I apply for the economic injury disaster loan?,No
Do I need a Human Services PKL certificate?,No
Do I need a licence to export these chemicals?,Yes
Do I need to contact the office?,Irrelevant
Am I eligible?,Yes
Am I eligible for the loan?,Yes
"Can I file bankruptcy under Chapter 9, 12 or 15?",Yes
Can Tax Credit Office ask me to provide details of the day-to-day running of my business?,Is your average hourly profit from your self-employed work  less than the National Minimum Wage?
Can I use the Capital Gains Tax calculator?,Did you reduce  your share of a property that you still jointly own?
Can the VA help me with this purchase?,Irrelevant
Can I call the helpline now?,Do you need help with the form?
Can I get Cold Weather Payments?,Yes
Do I qualify for this benefit?,No
Is this a legal commerical airport?,Are there  adequate toilet facilities approved by the proper authority in the community in which the commercial airport is located?
Am I in Priority Group 1-3?,Yes
Can I add the cost of this improvement to my loan amount?,Will the improvement lower utility costs?
Can I get Working Tax Credit?,Yes
Can I claim my Medicare benefit?,Do you have the Express Plus Medicare app?
Can some of my benefit stop?,Yes
Can I export this product to North Korea?,No
May I be able to get Child Tax Credit?,Has your partner died?
"Can I file bankruptcy under Chapter 9, 12 or 15?",Are you a family farmer or fisherman?
Am I an appointee?,Irrelevant
Can my Business use Centrepay?,No
Can I ask for mandatory reconsideration for this benefit?,No
Do I qualify for Working Tax Credit?,"Is your self employed work commercial, regular and organised?"
Can I qualify for Working Tax Credit?,No
Do I have authority to view latest and historical payment statements for the nominated service?,No
Can I be made redundant?,No
Can I use the Capital Gains Tax calculator?,Did you claim any reliefs other than private residence or letting?
Am I considered Veteran?,Yes
Can my benefit be reduced or stopped?,Yes
Is this a legal commerical airport?,No
Does this insurance cover this Veteran?,No
Can I claim and deal with tax credits for this person?,Yes
Can the VA help me with this purchase?,Is the purchase for an automobile?
Can my Business use Centrepay?,No
Can I export germplasm?,Yes
Do I need to register?,Yes
Can my payments go up?,Did your benefits stop or go down?
Can this benefit be reduced or stopped?,Do you have income support?
Can my Business use Centrepay?,Yes
Can I get SMP?,Do you work in a different country than the UK?
Can I claim my Medicare benefit?,Do you have the Express Plus Medicare app?
Can I export this product to North Korea?,is it cutlery made from precious metal or plated or clad with precious metal
Am I eligible for this benefit program?,Are you  except for a child of military parent(s) assigned to permanent duty anywhere outside the United States?
Are there special rules for calculating my gain?,No
Is this loan suitable for me?,Yes
Am I entitled to the National Minimum Wage?,Yes
Do I have to pay SE tax and file Schedule SE?,Yes
Do I need to apply for an initial Medicare provider number?,No
Do I qualify for Winter Fuel Payment?,Irrelevant
Can this benefit reduced or stopped?,No
Do I qualify for relief for most of the time I live away,No
May I qualify for VA health care benefits?,Were you in the Reserves or National Guard?
May I be able to get Child Tax Credit?,Are you pregnant?
Can I get vulnerable student bursary?,Yes
Can the loan be guaranteed?,Yes
Am I eligible ?,Yes
Can I claim bereavement benefits?,No
Can I take my pension in one go?,"Is it 10,000 or less?"
Can I apply for a Tier 4 (General) student visa?,No
Can I contact the Tax Credit Office?,Irrelevant
Can the VA help me with this purchase?,Are you a Veteran?
Is this a cultural good?,Yes
Is it my responsibility to contact the office in this situation?,Have your circumstances changed?
Am I entitled to the National Minimum Wage?,Are you a self-employed person running their own business?
Can my patient claim their Medicare benefit electronically at my surgery?,No
Can I get a CAS?,Are you re-sitting exams or repeating modules?
Can I get SSP?,No
Can this benefit reduced or stopped?,Is the benefit a Personal Independence Payment?
Am I entitled to the National Minimum Wage?,Are you a self-employed person running their own business?
Do I need to apply for an initial Medicare provider number?,Yes
Can I get Winter Fuel Payment?,No
Can I upload the attachment?,Irrelevant
Do I need to register?,Are you part of a family?
Can I use the loan for this expense?,No
Can I take paternity leave?,Irrelevant
Am I entitled to the correct minimum wage for my age?,Are you an Apprentice?
Can I obtain an NADL?,No
Does the SBA loan meet my needs?,No
Can I use the Capital Gains Tax calculator?,No
May I be able to get Child Tax Credit?,No
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I get a low-interest loan towards my deposit?,Yes
Does this program meet my needs?,Did your business sustain physical damage?
Does this loan meet my needs?,Do you need long term financing for the cost of aquacultural facilities in the Northwest Halibut/Sablefish and Alaskan Crab Fisheries?
Is this a digital service?,Is the service broadcasting?
Can this benefit reduced or stopped?,No
Can ALE help this organisation?,Yes
Can I export this product to North Korea?,No
Can this payment be stopped or reduced?,Do you get Statutory Paternity Pay
